ubigeo;distrito;centro_poblado;region_natural;altitud_msnm;pob_2017;categoria_ign;lon;lat;fuente_coord
060607;Querocotillo;Santa Rosa;Yunga fluvial;1966;184;OTROS;-79.08515691999997;-6.221594136999954;IGN
060607;Querocotillo;El Limon;Yunga fluvial;1536;177;CASERÃO;-79.03246967499996;-6.154833759999974;IGN
060607;Querocotillo;Las Palmas;Quechua;2369;177;;-79.08348036199999;-6.309480723999968;INEI
060607;Querocotillo;San Antonio;Quechua;2548;176;CASERÃO;-79.08782421699993;-6.252102122999929;INEI
060607;Querocotillo;El Choloque;Yunga fluvial;1917;173;CASERÃO;-79.03350585699997;-6.264019531999963;INEI
060607;Querocotillo;El Palmo Alto;Yunga fluvial;2168;169;CASERÃO;-79.13352138499994;-6.186378905999959;IGN
060607;Querocotillo;El Molino;Rupa Rupa;1009;168;;-79.05355073599998;-6.131536973999971;INEI
060607;Querocotillo;La Colpa;Yunga fluvial;2056;166;CASERÃO;-79.10305998499996;-6.273288123999976;IGN
060607;Querocotillo;San Vicente Del Palmo;Yunga fluvial;2099;159;;-78.99906048599996;-6.108779223999932;INEI
060607;Querocotillo;Santos;Rupa Rupa;1395;157;;-79.10804829799997;-6.1127947009999275;IGN
060607;Querocotillo;Pajurillo;Yunga fluvial;2164;157;CASERÃO;-78.93124804599995;-6.25553320299997;IGN
060607;Querocotillo;Chaupe;Yunga fluvial;1575;155;CASERÃO;-79.04376757499995;-6.114798827999948;IGN
060607;Querocotillo;Zura;Yunga fluvial;1925;153;;-79.04728086099993;-6.086598098999957;INEI
060607;Querocotillo;Buenos Aires;Yunga fluvial;2203;147;;;;
060607;Querocotillo;Sagasmache;Yunga fluvial;1959;137;CASERÃO;-79.09305569999998;-6.267112856999972;IGN
060607;Querocotillo;La Succha Alta;Yunga fluvial;2193;136;CASERÃO;-78.96567134799994;-6.247271975999979;INEI
060607;Querocotillo;Guayabas;Rupa Rupa;1098;132;;-79.05248048599998;-6.071900223999933;INEI
060607;Querocotillo;Nuevo Porvenir Los Alisos;Yunga fluvial;2070;132;;-78.93886323699996;-6.263867098999981;INEI
060607;Querocotillo;Gloriabamba;Yunga fluvial;2123;131;CASERÃO;-79.04955041599999;-6.2919495969999275;IGN
060607;Querocotillo;Maraybamba Bajo;Yunga fluvial;1903;130;;-79.05588573799997;-6.31576059899993;INEI
060607;Querocotillo;La Aronga;Yunga fluvial;1501;129;;-79.01464811099999;-6.222525473999951;INEI
060607;Querocotillo;El Tayme;Yunga fluvial;1631;124;;-79.08174023599997;-6.220949098999938;INEI
060607;Querocotillo;Barbechos;Yunga fluvial;2215;121;;-79.08144161099995;-6.135670473999937;INEI
060607;Querocotillo;Santa Rosa De Minas;Yunga fluvial;1859;113;CASERÃO;-79.00950502599994;-6.18514894599997;IGN
060607;Querocotillo;San Bernardo De Inamiaco;Yunga fluvial;2068;113;CASERÃO;-78.98864452899994;-6.215332030999946;INEI
060607;Querocotillo;Tomate;Rupa Rupa;1372;111;CASERÃO;-79.01314426999994;-6.143317366999952;IGN
060607;Querocotillo;Los Alisos;Yunga fluvial;1739;111;CASERÃO;-79.14602026699998;-6.134490340999946;IGN
060607;Querocotillo;Pampa Grande;Yunga fluvial;2115;105;CASERÃO;-79.01992425599997;-6.173605631999976;IGN
060607;Querocotillo;Celin;Yunga fluvial;1992;98;CASERÃO;-79.06381870599995;-6.305735176999974;INEI
060607;Querocotillo;Balconcillo;Yunga fluvial;2036;91;;-79.12885560999996;-6.170324598999969;INEI
060607;Querocotillo;Moshoqueque;Rupa Rupa;916;83;;-79.05791011099996;-6.128868973999943;INEI
060607;Querocotillo;Valle Guayaquil;Yunga fluvial;1540;83;;-78.98540898599998;-6.21766297399995;INEI
060607;Querocotillo;La Tinaja;Yunga fluvial;1686;80;;;;
060607;Querocotillo;Guayaquil;Yunga fluvial;2142;78;;-78.98540898599998;-6.21766297399995;INEI
060607;Querocotillo;Calucan;Yunga fluvial;2282;75;CASERÃO;-79.11696874599994;-6.17993163999995;INEI
060607;Querocotillo;Yerba Buena;Yunga fluvial;2171;73;CASERÃO;-78.97772273499999;-6.16075927299994;IGN
060607;Querocotillo;La Shilla;Rupa Rupa;1440;70;ANEXO;-78.97144921799998;-6.263283202999958;IGN
060607;Querocotillo;Ñule;Rupa Rupa;1411;59;;;;
060607;Querocotillo;Granadillo De Santa Rosa;Quechua;2427;57;OTROS;-79.08515691999997;-6.221594136999954;IGN
